species	ID	type_experiment	court_mp	court_cp
CP	102	real_wing	3	0
CP	121	real_wing	7	11
CP	133	real_wing	5	3
CP	140	real_wing	13	28
CP	141	real_wing	11	12
CP	142	real_wing	7	7
CP	144	real_wing	13	1
CP	146	real_wing	2	0
CP	148	real_wing	13	43
CP	150	real_wing	18	77
CP	154	real_wing	24	29
CP	159	real_wing	12	25
CP	184	real_wing	1	0
CP	186	real_wing	8	33
CP	204	real_wing	24	29
CP	205	real_wing	16	37
CP	220	real_wing	4	0
CP	237	real_wing	1	0
CP	243	real_wing	12	45
CP	244	real_wing	6	2
CP	533	real_wing	25	76
CP	545	real_wing	18	56
CP	603	real_wing	18	66
CP	607	real_wing	53	173
CP	616	real_wing	1	0
CP	617	real_wing	14	33
CP	618	real_wing	5	8
CP	621	real_wing	18	104
CP	749	real_wing	16	20
CP	871	real_wing	31	27
CP	933	real_wing	22	9
CP	934	real_wing	16	0
CP	935	real_wing	11	2
CP	944	real_wing	29	6
CP	945	real_wing	1	0
CP	947	real_wing	14	6
CP	955	real_wing	1	0
CP	968	real_wing	1	0
MP	125	real_wing	29	0
MP	126	real_wing	53	2
MP	130	real_wing	16	5
MP	132	real_wing	89	2
MP	151	real_wing	23	1
MP	152	real_wing	41	2
MP	162	real_wing	57	3
MP	163	real_wing	23	0
MP	168	real_wing	101	4
MP	172	real_wing	36	0
MP	176	real_wing	94	6
MP	182	real_wing	4	2
MP	183	real_wing	50	5
MP	200	real_wing	8	1
MP	201	real_wing	92	8
MP	206	real_wing	15	1
MP	208	real_wing	28	4
MP	212	real_wing	28	1
MP	213	real_wing	30	0
MP	214	real_wing	13	1
MP	215	real_wing	14	1
MP	216	real_wing	15	0
MP	217	real_wing	24	2
MP	221	real_wing	43	0
MP	222	real_wing	7	0
MP	223	real_wing	6	1
MP	224	real_wing	15	2
MP	225	real_wing	47	2
MP	226	real_wing	3	0
