population,design,observation_time,female_id,female_age,male_id,male_age,treatment,total_male_behaviors,response_pos,response_neg,mating_latency,outcome,,,
Panama,one_male,120,965,1,900,7,red,45,5,24,5000,0,,,
Panama,one_male,120,102,1,975,10,red,42,25,8,5000,0,,,
Panama,one_male,120,393,,332,,red,2,0,2,5000,0,,,
Panama,one_male,1,426,,399,,red,3,1,1,1,1,,,
Panama,one_male,120,888,1,841,22,white,24,18,6,5000,0,,,
Panama,one_male,120,918,1,874,7,white,81,44,12,1440,1,,,
Panama,one_male,110,27,1,963,7,white,5,0,0,110,1,,,
Panama,one_male,4,205,,107,,white,8,7,0,4,1,,,
Panama,one_male,119,203,,117,,white,44,29,13,5000,0,,,
Panama,one_male,2,266,,223,,white,4,1,1,2,1,,,
Panama,one_male,120,422,,383,,white,20,1,9,5000,0,,,
Colombia,one_male,120,B19_299,1,B19_255,10,red,16,0,14,5000,0,,,
Colombia,one_male,120,B19_305,1,B19_258,11,white,33,9,24,5000,0,,,
Colombia,one_male,120,B19_317,1,B19_259,12,red,91,7,84,5000,0,,,
Colombia,one_male,15,B19_321,1,B19_274,10,white,25,8,17,15,1,,,
Colombia,one_male,3,B19_327,1,B19_276,11,red,11,4,7,3,1,,,
Colombia,one_male,120,B19_342,1,B19_287,15,white,8,2,6,5000,0,,,
Colombia,one_male,120,B19_348,1,B19_289,15,red,0,0,0,5000,0,,,
Colombia,one_male,121,B19_362,1,B19_290,18,white,52,4,48,5000,0,,,
Colombia,one_male,57,B19_382,1,B19_301,17,red,33,2,31,57,1,,,
Colombia,one_male,119,B19_393,1,B19_310,18,white,3,0,3,5000,0,,,
Colombia,one_male,121,B19_390,2,B19_307,19,red,0,0,0,5000,0,,,
Colombia,one_male,121,B19_415,1,B19_349,14,white,0,0,0,5000,0,,,
Colombia,one_male,121,B19_416,1,B19_344,16,white,7,1,7,5000,0,,,
Colombia,one_male,119,B19_425,1,B19_329,21,red,67,15,53,5000,0,,,
Colombia,one_male,122,B19_472,1,B19_303,32,white,61,18,42,5000,0,,,
Colombia,one_male,121,B19_543,1,B19_453,10,red,38,0,38,5000,0,,,
Colombia,one_male,1,B19_590,1,B19_460,16,white,10,4,6,1,1,,,
Colombia,one_male,120,B19_628,1,B19_339,42,red,7,0,7,5000,0,,,
Colombia,one_male,122,B19_651,1,B19_480,18,white,0,0,0,5000,0,,,
Colombia,one_male,29,B19_680,1,B19_496,18,red,5,2,3,29,1,,,
Colombia,one_male,6,B19_701,1,B19_466,23,white,18,7,11,6,1,,,
Colombia,one_male,120,B19_738,1,B19_585,12,red,9,0,9,5000,0,,,
Colombia,one_male,120,B19_743,1,B19_322,54,white,36,5,31,229,1,,,
Colombia,one_male,120,B19_796,1,B19_447,31,red,17,6,11,151,1,,,
Colombia,one_male,120,B19_834,1,B19_624,15,white,19,1,18,5000,0,,,
Colombia,one_male,120,B19_895,1,B19_536,28,red,5,0,5,120,0,,,
