Date_exp,Start_exp,Mate_date,Mate_time,Preference,White_male_ID,White_male_age,Red_male_ID,Red_male_age,Female_ID,Female_age,Mate_duration,Cage,
2020_08_06,10_14,2020_08_06,11_02,red,B20_269,16,B20_270,16,B20_420,2,8880,47,
2020_08_21,9_16,2020_08_23,6_50,white,B20_515,10,B20_514,10,B20_640,2,12120,50,
2020_11_06,10_00,2020_11_06,13_35,red,C20_192,13,C20_190,13,C20_259,1,13080,50,
2020_11_14,10_00,No mating,NA,NA,C20_212,16,C20_213,16,C20_241,1,NA,50,
2020_11_17,10_00,No mating,NA,NA,C20_083,36,C20_102,34,C20_309,1,NA,50,
2020_11_22,10_00,2020_11_23,10_05,white,C20_290,10,C20_297,11,C20_341,1,7020,50,
2021_03_12,10_00,2021_03_13,10_08,white,A21_037,16,A21_039,16,A21_167,2,10680,50,
2021_03_12,10_00,No mating,NA,NA,A21_034,16,A21_029,17,A21_168,2,NA,47,female died
2021_03_13,10_00,No mating,NA,NA,A21_062,16,A21_065,15,A21_163,3,NA,48,
2021_03_13,10_00,2021_03_14,10_00,white,A21_014,17,A21_015,17,A21_172,3,5580,47,
2021_03_16,10_00,No mating,NA,NA,A21_156,8,A21_169,6,A21_225,3,NA,47,
2021_03_16,10_00,No mating,NA,NA,A21_138,10,A21_146,9,A21_209,3,NA,45,
2021_03_16,10_00,No mating,NA,NA,A21_156,8,A21_130,11,A21_137,10,NA,48,
2021_03_18,10_00,2021_03_19,11_09,Red,A21_178,7,A21_171,8,A21_266,1,10140,47,
2021_03_18,10_00,No mating,NA,NA,A21_111,14,A21_112,14,A21_269,1,NA,48,
2021_03_21,10_00,2021_03_21,13_05,white,A21_115,17,A21_118,17,A21_305,2,8220,50,
2021_03_25,10_00,No mating,NA,NA,A21_204,17,A21_207,17,A21_350,3,NA,54,
2021_05_11,10_00,2021_05_11,12_48,white,A21_803,8,A21_828,7,A21_918,1,17280,47,
2021_05_11,10_00,2021_05_11,12_45,red,A21_814,8,A21_816,8,A21_924,1,17100,59,
2021_05_11,10_00,No mating,NA,NA,A21_782,10,A21_792,9,A21_925,1,NA,50,
2021_05_23,10_00,2021_05_23,12_21,red,A21_957,10,A21_960,10,B21_031,2,13800,45,
2021_05_23,10_00,2021_05_23,12_21,red,A21_908,15,A21_962,14,B21_035,2,13260,48,
2021_05_23,10_00,2021_05_23,12_20,white,A21_857,18,A21_864,18,B21_036,2,13380,47,
2021_05_23,10_00,2021_05_23,13_12,white,A21_962,10,A21_975,9,B21_037,2,13380,50,
2021_05_24,10_00,2021_05_26,09_40,red,A21_723,30,A21_729,30,B21_038,3,11400,47,
2021_05_24,10_00,2021_05_24,13_36,white,A21_772,24,A21_790,22,B21_045,2,14160,45,
2021_05_27,10_00,No mating,NA,NA,B21_039,7,B21_040,7,B21_064,2,NA,48,
2021_05_31,10_00,No mating,NA,NA,B21_059,7,B21_060,7,B21_108,1,NA,47,
2021_05_31,10_00,No mating,NA,NA,B21_054,9,B21_034,11,B21_111,1,NA,48,
2021_05_31,10_00,2021_05_31,12_36,red,B21_063,7,B21_056,9,B21_101,2,NA,45,
2021_06_01,10_00,No mating,NA,NA,B21_072,7,B21_075,9,B21_125,1,NA,53,
2021_06_01,10_00,No mating,NA,NA,B21_078,7,B21_091,5,B21_124,1,NA,51,
2021_06_04,10_00,No mating,NA,NA,B21_105,7,B21_103,7,B21_149,1,NA,52,
2021_06_04,10_00,No mating,NA,NA,B21_102,7,B21_100,7,B21_132,2,NA,54,
2021_06_07,10_00,2021_06_07,11_09,white,B21_115,9,B21_116,9,B21_168,2,6780,48,
2021_06_07,10_00,No mating,NA,NA,B21_123,8,B21_126,8,B21_167,2,NA,52,
2021_06_09,10_12,No mating,NA,NA,B21_129,8,B21_144,8,B21_183,2,NA,48,
2021_06_14,10_00,No mating,NA,NA,B21_182,8,B21_190,9,B21_258,2,NA,48,
2021_07_14,10_05,2021_07_14,10_47,white,B21_468,21,B21_477,21,B21_873,2,8280,45,
2021_07_14,10_05,2021_07_14,11_01,red,B21_464,21,B21_467,21,B21_869,2,8940,47,
2021_08_05,9_30,2021_08_05,11_28,red,C21_028,16,C21_033,16,C21_167,2,10020,47,
