species	group	type_experiment	court_mp	court_cp
CP	1	real_wing	4	4
CP	2	real_wing	0	3
CP	3	real_wing	2	2
CP	4	real_wing	0	1
CP	5	real_wing	0	5
CP	6	real_wing	0	0
CP	7	real_wing	0	3
CP	8	real_wing	0	0
CP	9	real_wing	0	2
CP	10	real_wing	1	1
MP	11	real_wing	1	0
MP	12	real_wing	9	0
MP	13	real_wing	13	0
MP	14	real_wing	22	0
MP	15	real_wing	14	0
MP	16	real_wing	4	1
MP	17	real_wing	2	0
MP	18	real_wing	6	0
MP	19	real_wing	8	1
MP	20	real_wing	2	0
CP	21	paper	0	0
CP	22	paper	0	0
CP	23	paper	0	2
CP	24	paper	1	1
CP	25	paper	0	1
CP	26	paper	1	3
CP	27	paper	1	3
CP	28	paper	0	1
CP	29	paper	0	1
CP	30	paper	1	2
CP	31	paper	1	1
MP	32	paper	3	0
MP	33	paper	2	0
MP	34	paper	1	0
MP	35	paper	9	0
MP	36	paper	2	0
MP	37	paper	7	0
MP	38	paper	5	1
MP	39	paper	5	1
MP	40	paper	5	1
MP	41	paper	5	0
MP	42	paper	1	0
