species	ID	type_experiment	court_cp	court_mp
CP	233	live_female	1	0
CP	600	live_female	1	0
CP	559	live_female	2	0
CP	562	live_female	2	0
CP	563	live_female	2	0
CP	572	live_female	2	0
CP	593	live_female	2	0
CP	597	live_female	1	1
CP	568	live_female	3	0
CP	569	live_female	3	0
CP	560	live_female	1	2
CP	561	live_female	3	1
CP	272	live_female	5	0
CP	601	live_female	5	0
CP	371	live_female	4	1
CP	587	live_female	4	1
CP	599	live_female	4	1
CP	567	live_female	2	4
CP	592	live_female	6	1
CP	222	live_female	4	3
CP	575	live_female	9	0
CP	482	live_female	7	2
CP	214	live_female	12	1
CP	838	live_female	14	1
CP	598	live_female	16	1
CP	372	live_female	16	3
CP	574	live_female	17	4
CP	370	live_female	26	3
MP	208	live_female	0	3
MP	366	live_female	0	4
MP	273	live_female	0	5
MP	277	live_female	0	5
MP	213	live_female	0	6
MP	211	live_female	3	5
MP	364	live_female	0	9
MP	276	live_female	0	10
MP	209	live_female	0	11
MP	365	live_female	3	9
MP	212	live_female	1	13
MP	243	live_female	0	14
MP	207	live_female	0	16
MP	453	live_female	2	31
MP	480	live_female	2	43
MP	433	live_female	5	54
